GEOID,year,median_income,population,median_gross_rent,median_house_value,unemployment_rate_in_pop,poverty_rate,MoveOutNum,MoveInNum,MovesDiff,Professional_Scientific_Technical,RetailTrade,Accommodation_FoodServices,Administrative _Support_WasteManagement_Remediation,Agriculture_Forestry_Fishing_Hunting,Arts_Entertainment_Recreation,Construction,EducationalServices,Finance_nsurance,HealthCare_SocialAssistance,Information,ManagementCompanies_Enterprises,Manufacturing,Other,PublicAdministration,RealEstate_Rental_Leasing,Transportation_Warehousing,Utilities,WholesaleTrade,Mining_Quarrying_Oil_Gas
90031,2011,16201,39076,912,366500,7.2,0.290306070222131,17,16,-1,0.106968486462494,0.164447403462051,0.039502885042166,0.237239236573458,0.00355082112738571,0.0235241899689303,0.0459387483355526,0.0157567687527741,0.0257434531735464,0.0388371060807812,0.0308477585441633,0.00155348424323125,0.0514869063470928,0.098757212605415,0.00466045272969374,0.0301819795827785,0.0292942743009321,0.000221926320461607,0.0508211273857079,0.00066577896138482
90032,2011,18990,48729,980,363200,8.1,0.173038642286934,19,5,-14,0.0855773619351894,0.137151985394797,0.0374258329529895,0.234596074851666,0.00410771337288909,0.0230488361478777,0.0627567320858056,0.0228206298493838,0.0273847558192606,0.0460976722957554,0.0280693747147421,0.00228206298493838,0.0387950707439525,0.120264719306253,0.00273847558192606,0.0287539936102236,0.0358283888635326,0.00114103149246919,0.0611592879963487,
90033,2011,15643,49102,870,351600,8.6,0.317115392448373,12,14,2,0.0629904559915164,0.169883351007423,0.0555673382820785,0.146765641569459,0.00212089077412513,0.016542948038176,0.0307529162248144,0.0193001060445387,0.0229056203605514,0.179003181336161,0.0186638388123012,0.00106044538706257,0.0292682926829268,0.119406150583245,0.0080593849416755,0.0241781548250265,0.0290562036055143,0.00063626723223754,0.0638388123011665,
90034,2011,33240,59662,1341,689900,6,0.149291006000469,63,54,-9,0.144783377541998,0.102637783672266,0.0278514588859416,0.250147362216328,0.0024314765694076,0.0324933687002653,0.0461980548187445,0.0145888594164456,0.035956380783967,0.0574712643678161,0.0634394341290893,0.0017683465959328,0.0242410845859122,0.0839964633068081,0.000884173297966401,0.0449454759799587,0.0181992337164751,0.000515767757147068,0.0470822281167109,0.000368405540819334
90035,2011,37036,29113,1547,851300,7.1,0.0987187854223199,43,51,8,0.130188192833204,0.103720890263814,0.0309358081979892,0.234080948698118,0.00317951362034889,0.0323966658073387,0.0406462146601358,0.0153819712984446,0.0417633410672854,0.082839219730171,0.054395462748131,0.00240611841539916,0.0241471169545416,0.0947838790066168,0.000945260806049669,0.0527627395376815,0.0109134656698462,8.59328005499699e-05,0.0438257282804847,0.00060152960384979
90036,2011,46117,36124,1766,982900,5.8,0.107214040527073,109,88,-21,0.145491594498217,0.108914926133469,0.0320427916454407,0.239021905247071,0.00239429444727458,0.0486500254712175,0.0267957208354559,0.0106469689251146,0.0407539480387163,0.0563932755985736,0.0924095771777891,0.00402445236882323,0.0215486500254712,0.073458991339786,0.00188487009679063,0.0465613856342333,0.00947529291900153,0.000356597045338767,0.0387162506367804,0.000458481915435558
90037,2011,15273,60639,866,311600,10.1,0.368607661735847,14,6,-8,0.0519930675909879,0.206412478336222,0.0362218370883882,0.178856152512998,0.00103986135181976,0.0190641247833622,0.0461005199306759,0.0124783362218371,0.0235701906412478,0.0724436741767764,0.0168110918544194,0.00138648180242634,0.0407279029462738,0.169670710571924,0.00415944540727903,0.0285961871750433,0.0363951473136915,0.000866551126516464,0.0530329289428076,0.000173310225303293
90038,2011,20020,30498,985,609100,10,0.239556692242114,58,34,-24,0.105407568309135,0.132388247399108,0.0372699211158111,0.190122327655196,0.00228649822796387,0.0595632788384589,0.0273236538241683,0.0121184406082085,0.0206928089630731,0.0320109751914942,0.145306962387104,0.00148622384817652,0.0285812278495484,0.097976449068252,0.00171487367097291,0.044243740711101,0.0206928089630731,0.000342974734194581,0.040128043900766,0.000342974734194581
90039,2011,31406,29262,1199,648400,7.6,0.140694415966099,37,47,10,0.121305418719212,0.0910098522167488,0.0310344827586207,0.260344827586207,0.0041871921182266,0.0389162561576355,0.0471674876847291,0.0118226600985222,0.0258620689655172,0.0584975369458128,0.0812807881773399,0.00123152709359606,0.0390394088669951,0.0827586206896552,0.00172413793103448,0.0380541871921182,0.016256157635468,0.000862068965517241,0.0483990147783251,0.000246305418719212
90040,2011,20941,12862,912,360200,6.1,0.135282226714352,60,53,-7,0.0717215661901802,0.137352392790553,0.0259788688626476,0.132007458048477,0.0033561218147918,0.00944686140459913,0.0346799254195152,0.00534493474207582,0.0387818520820385,0.0220012430080796,0.015786202610317,0.00459912989434431,0.121939092604102,0.0494717215661902,0.00609073958980733,0.0362958359229335,0.0779366065879428,0.000870105655686762,0.205842137973897,0.000497203231821007
