GEOID,year,median_income,population,median_gross_rent,median_house_value,unemployment_rate_in_pop,poverty_rate,MoveOutNum,MoveInNum,MovesDiff
90706,2011,25469,76243,1141,386200,5.5,0.133100743674829,36,38,2
90710,2011,26483,27672,1049,439300,5.8,0.126951431049436,14,34,20
90712,2011,37624,31786,1482,467900,5.2,0.0549613037186183,25,20,-5
90713,2011,37528,27344,1635,470200,4.6,0.045348156816852,8,12,4
90715,2011,28810,20662,1392,407400,6.6,0.100958280902139,8,9,1
90716,2011,17885,14265,1166,301800,4,0.218226428321066,5,7,2
90717,2011,30910,21353,1163,492400,4.4,0.0939446447805929,26,21,-5
90723,2011,20442,54196,1136,301600,7.1,0.210605948778508,46,32,-14
90731,2011,23936,60467,1060,491700,6.8,0.181007822448608,36,26,-10
90732,2011,41745,20300,1510,520300,4.1,0.0648275862068965,18,24,6
90744,2011,18471,56811,947,354000,9.9,0.254915421309253,16,14,-2
90745,2011,25589,57668,1243,372400,7.5,0.0788825691891517,34,44,10
90746,2011,31075,26021,1849,414100,8,0.072941086045886,51,46,-5
90747,2011,,0,,,,,,,
90755,2011,36208,10893,1150,421900,8.7,0.106857614982099,36,40,4
90802,2011,26951,38669,994,329400,7.3,0.19713465566733,78,46,-32
90803,2011,48283,30670,1274,737300,5,0.0832083469188132,48,57,9
90804,2011,20622,40817,1092,412700,8.4,0.256167773231742,34,39,5
90805,2011,20769,92627,1003,330300,9.4,0.216340807755838,30,32,2
90806,2011,20010,42486,994,423800,8.3,0.269406392694064,28,42,14
90807,2011,36357,31912,1167,531500,5.3,0.0678114815743294,39,39,0
90808,2011,44591,39848,1443,560800,5.6,0.0507428227263602,32,44,12
90810,2011,22049,37208,968,354400,9,0.181735110728876,17,23,6
90813,2011,15727,57602,932,338300,9,0.35356411235721,38,26,-12
90814,2011,33587,18260,1151,648500,5.6,0.126122672508215,19,23,4
90815,2011,35134,41278,1498,574000,4.9,0.0714181888657396,35,45,10
90822,2011,23333,47,,,0,0,,,
90831,2011,,0,,,,,5,6,1
91001,2011,36119,38113,1312,609400,6.2,0.0978406318054207,30,30,0
91006,2011,37947,32233,1459,701500,3.5,0.0578909812924642,79,63,-16
91007,2011,35149,33241,1395,754700,3.2,0.110405824132848,43,33,-10
91008,2011,39167,1271,2001,1000001,2.5,0.037765538945712,2,3,1
91010,2011,24218,24917,1213,395300,5.2,0.0720793032869125,25,11,-14
91011,2011,61545,20308,2001,1000001,3.4,0.0194504628717747,28,28,0
91016,2011,33060,41385,1287,525400,4.4,0.099021384559623,56,53,-3
91020,2011,40407,8682,1337,553700,3.2,0.0939875604699378,14,21,7
91024,2011,46025,10881,1448,770500,5.5,0.085653892105505,12,13,1
91030,2011,49495,25465,1399,834400,4.6,0.061103475358335,31,30,-1
91040,2011,31171,20232,1196,467600,5.4,0.087485172004745,21,17,-4
91042,2011,27673,27593,1131,446200,5.2,0.150509187112673,17,29,12
91046,2011,12138,123,1177,,0,0.308943089430894,1,,
91101,2011,35088,21121,1400,453200,5.2,0.194119596610009,92,92,0
91103,2011,21572,27330,1043,600200,6,0.143615075009147,35,29,-6
91104,2011,26158,37335,1232,630400,6.3,0.114316325164055,26,34,8
91105,2011,61789,10548,1650,883500,6,0.0696814562002275,57,40,-17
91106,2011,33626,25096,1391,610500,5.3,0.118146318138349,46,51,5
91107,2011,39293,31329,1324,655700,5,0.0727121835998596,68,70,2
91108,2011,61744,13281,2001,1000001,2.1,0.0341088773435735,20,32,12
91201,2011,20781,23419,1273,640300,5.6,0.140825825184679,36,45,9
91202,2011,30284,22414,1478,633500,5.2,0.113411260819131,27,38,11
91203,2011,20490,13016,1179,393400,7.8,0.159649661954518,38,70,32
91204,2011,17983,15830,1106,427500,7.7,0.180290587492104,50,19,-31
91205,2011,15732,38321,1169,486600,7.7,0.227081756739125,32,39,7
91206,2011,25898,32674,1257,634700,6.3,0.109965109873294,36,30,-6
91207,2011,42855,10566,1466,858900,2,0.0413590762824153,13,15,2
91208,2011,44238,15672,1491,733200,3.8,0.0545558958652374,25,24,-1
91210,2011,39149,194,2001,,0,0.0257731958762887,10,6,-4
91214,2011,41751,31642,1567,630600,4.4,0.0560963276657607,24,41,17
91301,2011,51786,25343,2001,723700,5.5,0.0529140196503966,59,64,5
91302,2011,57192,25802,1852,1000001,4.3,0.0599953491977366,69,85,16
91303,2011,21778,26308,1187,359000,5.7,0.184772692717044,42,36,-6
91304,2011,25412,52249,1178,505100,5,0.162605982889625,49,59,10
91306,2011,24144,47235,1123,391400,6.4,0.150989732190113,28,34,6
91307,2011,36336,24506,2001,567800,5.2,0.053864359748633,28,30,2
